Date,Open,High,Low,Close,Adj Close,Volume
2023/5/31,59.299999,62.59,59.209999,62.200001,62.200001,10112600
2023/6/1,61.799999,66.360001,60.669998,63.57,63.57,11729000
2023/6/2,65.110001,65.220001,62,64.550003,64.550003,8599200
2023/6/5,63.380001,64.440002,55.810001,58.709999,58.709999,26413200
2023/6/6,47.099998,52.380001,46.43,51.610001,51.610001,56259900
2023/6/7,53.290001,54,51.700001,53.259998,53.259998,18905500
2023/6/8,52.209999,55.049999,51.959999,54.900002,54.900002,12773600
2023/6/9,55,57.419998,52.48,53.279999,53.279999,14365000
2023/6/12,52.529999,52.93,50.099998,50.560001,50.560001,12447200
2023/6/13,51.799999,52.66,50.52,52.400002,52.400002,11560800
2023/6/14,52.810001,54.790001,51.560001,53.900002,53.900002,11241200
2023/6/15,52.709999,54.580002,50.93,54.25,54.25,11801700
2023/6/16,55.41,56.279999,53.900002,55.59,55.59,13726100
2023/6/20,55.900002,57.939999,53.630001,57.09,57.09,14143500
2023/6/21,58.900002,59.240002,56.82,58.099998,58.099998,20569700
2023/6/22,58.98,59.279999,55.099998,57.490002,57.490002,12837400
2023/6/23,56.849998,61.889999,55.75,61.470001,61.470001,26042300
2023/6/26,61.099998,66.160004,61,61.939999,61.939999,20724100
2023/6/27,63.799999,70.370003,62.84,69.889999,69.889999,25447400
2023/6/28,69,74.309998,69,70.75,70.75,23086200
2023/6/29,72.029999,74.18,70.830002,72.43,72.43,14730500
2023/6/30,73.800003,74.970001,68.150002,71.550003,71.550003,24558900
2023/7/3,73.199997,80.849998,73.010002,79.93,79.93,19891700
2023/7/5,76.900002,79.93,76.160004,78.349998,78.349998,14670000
2023/7/6,78.050003,78.459999,74.519997,78.099998,78.099998,11110400
2023/7/7,78.150002,81.190002,77.620003,78.720001,78.720001,13254500
2023/7/10,79.080002,81.370003,76.550003,81.209999,81.209999,10739700
2023/7/11,80.489998,92.150002,80.489998,89.150002,89.150002,35672100
2023/7/12,89,89.07,84.449997,85.949997,85.949997,16752300
2023/7/13,85.349998,109.209999,83.419998,107,107,65424400
2023/7/14,106.68,114.43,101.220001,105.309998,105.309998,42087400
2023/7/17,104.57,109.480003,103.5,105.550003,105.550003,19191400
2023/7/18,104.5,109.849998,101.900002,104.589996,104.589996,17582100
2023/7/19,107.309998,111.059998,105.080002,110.150002,110.150002,15920800
2023/7/20,109.260002,111.879997,100.370003,101.260002,101.260002,15274600
2023/7/21,102.57,104.330002,98.709999,100.82,100.82,10464800
2023/7/24,99.230003,100.389999,95.699997,98.849998,98.849998,9755700
2023/7/25,99.339996,102.589996,97.629997,97.68,97.68,7726000
2023/7/26,97.370003,101.32,97.279999,99.75,99.75,6575800
2023/7/27,102.589996,102.730003,91.800003,92.690002,92.690002,12232300
2023/7/28,94.800003,96.919998,93.550003,94.760002,94.760002,7228000
2023/7/31,94.75,100.199997,94.589996,98.610001,98.610001,8493000
2023/8/1,95.879997,95.949997,89.230003,94.150002,94.150002,11543600
2023/8/2,91.449997,95.410004,88.050003,90.43,90.43,10666200
2023/8/3,89,93.440002,88.459999,90.75,90.75,10297200
2023/8/4,89,94.290001,86.699997,87.309998,87.309998,13187100
2023/8/7,87.199997,87.300003,82.089996,85.959999,85.959999,10019500
2023/8/8,87.089996,88.989998,84.550003,88.040001,88.040001,8986900
2023/8/9,88.529999,88.900002,84.080002,84.339996,84.339996,7960700
